,unemployment_rate,fed_rate,indpro,gs10,usrec,sp500_close,inflation_yoy,sp500_log_return,log_indpro
2010-02-01,9.8,0.13,89.6779,3.69,0.0,1104.489990234375,2.151336357866529,2.811473974184046,4.496224361897403
2010-03-01,9.9,0.16,90.2928,3.73,0.0,1169.4300537109375,2.2861714393279886,5.71328154163926,4.503057723024729
2010-04-01,9.9,0.2,90.5991,3.85,0.0,1186.68994140625,2.2067707525304403,1.465137300691843,4.506444279224759
2010-05-01,9.6,0.2,91.823,3.42,0.0,1089.4100341796875,2.003548929218568,-8.553157288349063,4.519862810907681
2010-06-01,9.4,0.18,91.9928,3.2,0.0,1030.7099609375,1.1215605940686268,-5.538844940550374,4.521710313116934
2010-07-01,9.4,0.18,92.3421,3.01,0.0,1101.5999755859375,1.3407784804821077,6.651579901085699,4.525500158860533
2010-08-01,9.5,0.19,92.6805,2.7,0.0,1049.3299560546875,1.1501775395112546,-4.861182288741885,4.529158094456831
2010-09-01,9.5,0.19,92.9537,2.65,0.0,1141.199951171875,1.1183122472331775,8.392847418803404,4.5321015197227
2010-10-01,9.4,0.19,92.6903,2.54,0.0,1183.260009765625,1.1666951489314625,3.619305175049079,4.529263828477605
2010-11-01,9.8,0.19,92.7709,2.76,0.0,1180.550048828125,1.084544776600338,-0.22928763797244472,4.530133013030216
2010-12-01,9.3,0.18,93.6787,3.29,0.0,1257.6400146484375,1.437793022217937,6.3256487508998065,4.539870842164994
2011-01-01,9.1,0.17,93.4814,3.39,0.0,1286.1199951171875,1.7007834915029774,2.2392969812412193,4.537762486024065
2011-02-01,9.0,0.16,93.1102,3.58,0.0,1327.219970703125,2.124898173333145,3.145657676282469,4.533783737895124
2011-03-01,9.0,0.14,94.0788,3.41,0.0,1325.8299560546875,2.619241510354109,-0.10478617545838824,4.544132728966929
2011-04-01,9.1,0.1,93.7749,3.46,0.0,1363.6099853515625,3.0772344447868694,2.8096938770245248,4.5408972295850845
2011-05-01,9.0,0.09,93.888,3.17,0.0,1345.199951171875,3.4589718808964998,-1.3592919455284003,4.542102582520517
2011-06-01,9.1,0.09,94.172,3.0,0.0,1320.6400146484375,3.5023181506360412,-1.8426185911932575,4.545122897482703
2011-07-01,9.0,0.07,94.636,3.0,0.0,1292.280029296875,3.5798809769996165,-2.170835585666382,4.550037953350042
2011-08-01,9.0,0.1,95.2749,2.3,0.0,1218.8900146484375,3.75499603070808,-5.8467502271956855,4.556766397166091
